variable,dtype,na_n,na_pct,n_unique,min,p25,p50,p75,max,mean,std,cv,top,top_n,comentario
cve_mun,int64,0,0.0,2471,1001.0,14080.0,20228.0,24028.0,32058.0,19338.9868,7373.6995,0.38,,,
trim,int64,0,0.0,17,119.0,219.0,318.0,322.0,421.0,273.0641,108.7336,0.4,,,
cve_edo,int64,0,0.0,32,1.0,14.0,20.0,24.0,32.0,19.2302,7.3582,0.38,,,
region,str,0,0.0,6,,,,,,,,,Sur,15632.0,
estado,str,0,0.0,32,,,,,,,,,Oaxaca,9690.0,
municipio,str,0,0.0,2424,,,,,,,,,Benito Juarez,119.0,
pob,int64,0,0.0,8735,81.0,4552.0,13701.0,35905.0,1922523.0,51115.7585,146944.8073,2.87,,,
pob_adulta,int64,0,0.0,8416,66.0,3290.0,9873.0,25647.0,1468256.0,37884.3206,111596.5047,2.95,,,
pob_adulta_m,int64,0,0.0,7506,36.0,1710.0,5133.0,13205.0,766847.0,19702.2675,58012.7363,2.94,,,
pob_adulta_h,int64,0,0.0,7332,26.0,1585.0,4767.0,12364.0,736875.0,18182.0538,53614.7389,2.95,,,
tipo_pob,str,2,0.0,6,,,,,,,,,Semi-urbano,12421.0,
ncont_ahorro_m,int64,0,0.0,1099,0.0,0.0,0.0,0.0,13130.0,47.5434,401.4165,8.44,,,alta dispersión
ncont_ahorro_h,int64,0,0.0,1127,0.0,0.0,0.0,0.0,15965.0,51.0166,435.6642,8.54,,,alta dispersión
ncont_ahorro_pm,int64,0,0.0,36,0.0,0.0,0.0,0.0,202.0,0.0813,3.1803,39.13,,,alta dispersión
ncont_ahorro_t,int64,0,0.0,1365,0.0,0.0,0.0,0.0,28206.0,98.6413,835.1447,8.47,,,alta dispersión
ncont_plazo_m,int64,0,0.0,4147,0.0,0.0,0.0,194.0,138816.0,708.857,3745.1918,5.28,,,alta dispersión
ncont_plazo_h,int64,0,0.0,3343,0.0,0.0,0.0,106.0,594884.0,664.9286,10927.4689,16.43,,,alta dispersión
ncont_plazo_pm,int64,0,0.0,985,0.0,0.0,0.0,0.0,26191.0,46.0281,590.117,12.82,,,alta dispersión
ncont_plazo_t,int64,0,0.0,5083,0.0,0.0,0.0,305.0,718838.0,1419.8137,14021.6905,9.88,,,alta dispersión
ncont_n1_m,int64,0,0.0,123,0.0,0.0,0.0,0.0,22827.0,4.8532,258.3361,53.23,,,alta dispersión
ncont_n1_h,int64,0,0.0,142,0.0,0.0,0.0,0.0,445236.0,64.3547,4718.3337,73.32,,,alta dispersión
ncont_n1_pm,int64,0,0.0,9,0.0,0.0,0.0,0.0,11.0,0.0023,0.1212,52.92,,,alta dispersión
ncont_n1_t,int64,0,0.0,186,0.0,0.0,0.0,0.0,468063.0,69.2102,4790.7416,69.22,,,alta dispersión
ncont_n2_m,int64,0,0.0,7724,0.0,24.0,140.0,1022.0,4163526.0,4699.6529,52658.3206,11.2,,,alta dispersión
ncont_n2_h,int64,0,0.0,7263,0.0,22.0,136.0,878.0,2387959.0,4329.3727,40233.5465,9.29,,,alta dispersión
ncont_n2_pm,int64,0,0.0,350,0.0,0.0,0.0,0.0,11773.0,6.0437,96.1847,15.91,,,alta dispersión
ncont_n2_t,int64,0,0.0,9803,0.0,51.0,296.0,2060.0,5267939.0,9035.0693,88466.3899,9.79,,,alta dispersión
ncont_n3_m,int64,0,0.0,1406,0.0,0.0,0.0,0.0,124446.0,86.5966,953.7187,11.01,,,alta dispersión
ncont_n3_h,int64,0,0.0,1555,0.0,0.0,0.0,0.0,255013.0,111.8242,1734.2155,15.51,,,alta dispersión
ncont_n3_pm,int64,0,0.0,15,0.0,0.0,0.0,0.0,243.0,0.0255,1.2679,49.79,,,alta dispersión
ncont_n3_t,int64,0,0.0,1926,0.0,0.0,0.0,0.0,379702.0,198.4462,2659.1648,13.4,,,alta dispersión
ncont_tradic_m,int64,0,0.0,12376,0.0,0.0,0.0,3817.0,4194798.0,15619.0387,80343.2891,5.14,,,alta dispersión
ncont_tradic_h,int64,0,0.0,11956,0.0,0.0,0.0,3364.0,4016834.0,15823.5092,83252.852,5.26,,,alta dispersión
ncont_tradic_pm,int64,0,0.0,3416,0.0,0.0,0.0,59.0,410179.0,963.0242,7696.5936,7.99,,,alta dispersión
ncont_tradic_t,int64,0,0.0,14246,0.0,0.0,0.0,7349.0,8242396.0,32405.5721,169091.6229,5.22,,,alta dispersión
ncont_total_m,int64,0,0.0,13796,0.0,25.0,210.0,5794.0,4839046.0,21166.5417,121497.01,5.74,,,alta dispersión
ncont_total_h,int64,0,0.0,13022,0.0,24.0,197.0,4589.0,4425301.0,21045.006,119787.4878,5.69,,,alta dispersión
ncont_total_pm,int64,0,0.0,3508,0.0,0.0,0.0,59.0,418676.0,1015.2051,8141.8555,8.02,,,alta dispersión
ncont_total_t,int64,0,0.0,15930,0.0,54.0,409.0,10404.0,9273479.0,43226.7528,245011.877,5.67,,,alta dispersión
saldocont_ahorro_m,int64,0,0.0,2174,0.0,0.0,0.0,0.0,562328429.0,1307686.0365,13012685.8991,9.95,,,alta dispersión
saldocont_ahorro_h,int64,0,0.0,2256,0.0,0.0,0.0,0.0,565677626.0,1216323.4041,12114874.3972,9.96,,,alta dispersión
saldocont_ahorro_pm,int64,0,0.0,84,0.0,0.0,0.0,0.0,251306297.0,39287.8387,2088295.6677,53.15,,,alta dispersión
saldocont_ahorro_t,int64,0,0.0,2460,0.0,0.0,0.0,0.0,1128006054.0,2563297.2792,25321153.863,9.88,,,alta dispersión
saldocont_plazo_m,int64,0,0.0,17535,0.0,0.0,0.0,29868448.0,43326334498.0,206557481.1785,1204325221.6354,5.83,,,alta dispersión
saldocont_plazo_h,int64,0,0.0,17602,0.0,0.0,0.0,22831618.0,41596754422.0,212444292.0178,1441805797.6424,6.79,,,alta dispersión
saldocont_plazo_pm,int64,0,0.0,7547,0.0,0.0,0.0,0.0,204000000000.0,311507737.7605,5127988422.9374,16.46,,,alta dispersión
saldocont_plazo_t,int64,0,0.0,17954,0.0,0.0,0.0,55859185.0,252000000000.0,730582415.4068,7247906226.2158,9.92,,,alta dispersión
saldocont_n1_m,int64,0,0.0,869,0.0,0.0,0.0,0.0,46461851.0,8334.9545,531559.6181,63.77,,,alta dispersión
saldocont_n1_h,int64,0,0.0,1694,0.0,0.0,0.0,0.0,205610860.0,25184.8434,1666933.5974,66.19,,,alta dispersión
saldocont_n1_pm,int64,0,0.0,34,0.0,0.0,0.0,0.0,19739.0,3.2651,189.3801,58.0,,,alta dispersión
saldocont_n1_t,int64,0,0.0,2029,0.0,0.0,0.0,0.0,205730972.0,33523.0631,1837099.6149,54.8,,,alta dispersión
saldocont_n2_m,int64,0,0.0,33186,0.0,5143.0,44625.0,828207.0,6669616765.0,6556493.8229,92835966.816,14.16,,,alta dispersión
saldocont_n2_h,int64,0,0.0,33761,0.0,6246.0,55317.0,873034.0,4712034597.0,5565652.4769,61199195.1392,11.0,,,alta dispersión
saldocont_n2_pm,int64,0,0.0,5095,0.0,0.0,0.0,0.0,12336430.0,9621.8509,150169.5126,15.61,,,alta dispersión
saldocont_n2_t,int64,0,0.0,36597,0.0,15419.0,111579.0,1932548.0,11381657460.0,12131768.1503,149723070.4945,12.34,,,alta dispersión
saldocont_n3_m,int64,0,0.0,6513,0.0,0.0,0.0,0.0,276467077.0,791643.7345,6995563.5713,8.84,,,alta dispersión
saldocont_n3_h,int64,0,0.0,6777,0.0,0.0,0.0,0.0,595622268.0,765333.4641,6926711.7476,9.05,,,alta dispersión
saldocont_n3_pm,int64,0,0.0,233,0.0,0.0,0.0,0.0,22135997.0,4459.5979,203599.3679,45.65,,,alta dispersión
saldocont_n3_t,int64,0,0.0,7058,0.0,0.0,0.0,0.0,853118381.0,1561436.7965,13714504.5196,8.78,,,alta dispersión
saldocont_tradic_m,int64,0,0.0,18103,0.0,0.0,0.0,66091089.0,41020925508.0,318147365.7277,1667125181.2095,5.24,,,alta dispersión
saldocont_tradic_h,int64,0,0.0,18198,0.0,0.0,0.0,67066465.0,52110362052.0,376928686.515,2100177740.5862,5.57,,,alta dispersión
saldocont_tradic_pm,int64,0,0.0,12516,0.0,0.0,0.0,11472960.0,532000000000.0,891799746.8644,12126911866.3949,13.6,,,alta dispersión
saldocont_tradic_t,int64,0,0.0,18337,0.0,0.0,0.0,164634499.0,625000000000.0,1586837161.4209,15140558162.3525,9.54,,,alta dispersión
saldocont_total_m,int64,0,0.0,33808,0.0,5574.0,71736.0,106171487.0,66403647325.0,533369005.4545,2855743856.009,5.35,,,alta dispersión
saldocont_total_h,int64,0,0.0,34339,0.0,6770.0,86310.0,102335119.0,86073672011.0,596945472.7198,3496389071.0969,5.86,,,alta dispersión
