k,coef,se,pval,ci_lo,ci_hi,col
-4,-0.08744000604468988,0.04050015926038597,0.03085612752283673,-0.16682140123787365,-0.008058610851506123,evt_k_le-4
-3,-0.015899520256068,0.03337578508560241,0.6338072073720071,-0.08131695154884866,0.04951791103671266,evt_k-3
-2,-0.010593392103198318,0.028197852613346418,0.7071563141798323,-0.06586193728367644,0.0446751530772798,evt_k-2
-1,0.0,0.0,1.0,0.0,0.0,reference
0,0.004534986043602525,0.025091357448703354,0.856573439561223,-0.04464474554123505,0.053714717628440094,evt_k+0
1,0.024494485110470605,0.028071146594212976,0.38289440216830606,-0.0305257128841725,0.07951468310511371,evt_k+1
2,0.0674425797908232,0.03392742746613945,0.046835669091233934,0.0009439146803387477,0.13394124490130765,evt_k+2
3,0.06497841352675238,0.03783494977507699,0.08591106498290113,-0.00917909980301182,0.13913592685651657,evt_k+3
4,0.12656651951181858,0.03877132758684249,0.0010977967786041098,0.05057368063066599,0.20255935839297118,evt_k+4
5,0.09464735637984618,0.04348316667623405,0.029513337095410153,0.009419186880931518,0.17987552587876085,evt_k+5
6,0.07114636493299294,0.04296552068823473,0.09775150680094558,-0.013067204586712941,0.1553599344526988,evt_k+6
7,0.09154275040917144,0.043579937318990764,0.03568525254656052,0.006124907862642803,0.17696059295570007,evt_k+7
8,0.16771739162716073,0.048452978130279455,0.0005378742689770011,0.07274825877714468,0.2626865244771768,evt_k_ge8
