k,coef,se,pval,ci_lo,ci_hi,col
-4,-0.0012441653516560979,0.045407553154108556,0.9781408710736761,-0.09024418380855728,0.08775585310524509,evt_k_le-4
-3,0.008540786509171798,0.0261098289985941,0.7435864898209648,-0.0426351765491052,0.059716749567448796,evt_k-3
-2,-0.005270683832244746,0.019620727628843083,0.7882171540553498,-0.043727834676252776,0.03318646701176329,evt_k-2
-1,0.0,0.0,1.0,0.0,0.0,reference
0,0.026770106551620695,0.01979817459323069,0.17633534696700037,-0.012034845087819296,0.06557505819106069,evt_k+0
1,0.006514368716980184,0.023541945799005023,0.7820017973638693,-0.03962847460055793,0.05265721203451829,evt_k+1
2,0.021620766248232247,0.027100799582352564,0.42499696228167094,-0.031497525654442506,0.074739058150907,evt_k+2
3,-0.00046980187874367694,0.02945305711811213,0.9872736711156538,-0.058198581454856166,0.05725897769736882,evt_k+3
4,0.013332295705625097,0.03180976025547505,0.6751264744360994,-0.04901568504195061,0.07568027645320081,evt_k+4
5,0.026968791604845502,0.03351361622069238,0.42099125603847365,-0.03871879239854939,0.09265637560824039,evt_k+5
6,0.023271828451051205,0.04049505133581559,0.5655089451980215,-0.05609955507338005,0.10264321197548246,evt_k+6
7,0.007243501346323508,0.04092257065299129,0.8595053772930488,-0.07296583147236248,0.0874528341650095,evt_k+7
8,-0.014868121689404207,0.042755031505553674,0.7280288341110768,-0.0986691267822181,0.06893288340340968,evt_k_ge8
