k,coef,se,pval,ci_lo,ci_hi,col
-4,-0.07847623666721226,0.03872333639087075,0.04271160302028876,-0.1543750115208944,-0.0025774618135301214,evt_k_le-4
-3,-0.0015042173112036583,0.02538595578514865,0.9527501788862365,-0.051261369513532294,0.048252934891124984,evt_k-3
-2,0.020639285206791088,0.026839439205359375,0.44190350172615744,-0.03196673336775804,0.07324530378134021,evt_k-2
-1,0.0,0.0,1.0,0.0,0.0,reference
0,-0.030196930241284118,0.015728199556974014,0.054875157861980606,-0.0610246219716379,0.0006307614890696672,evt_k+0
1,-0.016708720521944796,0.018885917150910224,0.37631409585025666,-0.05372562317912818,0.020308182135238585,evt_k+1
2,0.00753184188398139,0.04542289677242007,0.8683026612241431,-0.0814982504751247,0.09656193424308747,evt_k+2
3,-0.04941063807907577,0.07061563017392312,0.48411118343455506,-0.18781916160147144,0.08899788544331992,evt_k+3
4,0.18689018257991305,0.0952909976003627,0.04985632319967581,0.00011727904059427585,0.3736630861192318,evt_k+4
5,0.021961455825435336,0.032967649299289394,0.5053182029274652,-0.04265601841192988,0.08657893006280055,evt_k+5
6,0.030185253799273164,0.034779467149337155,0.3854521601611618,-0.037983431875262465,0.0983539394738088,evt_k+6
7,0.08685999783056728,0.036795736335957105,0.018250469393615854,0.01473937063180486,0.1589806250293297,evt_k+7
8,0.10925432587838756,0.037923427645239226,0.003967403712109352,0.03492339355705734,0.18358525819971777,evt_k_ge8
