k,coef,se,pval,ci_lo,ci_hi,col
-4,0.04578389581749329,0.062784114002908,0.465867095119729,-0.07727464658171121,0.16884243821669778,evt_k_le-4
-3,-0.013609930515141758,0.05620407515071338,0.8086636822882136,-0.12377142080266558,0.09655155977238207,evt_k-3
-2,-0.023902482436637014,0.08275345786801856,0.7727056478364627,-0.1861014728255222,0.13829650795224818,evt_k-2
-1,0.0,0.0,1.0,0.0,0.0,reference
0,-0.08543956571747621,0.07726652723986542,0.26882999431924937,-0.23688402534536662,0.0660048939104142,evt_k+0
1,-0.0041773746361730354,0.06463024456354959,0.9484649738077708,-0.13085438230289184,0.12249963303054576,evt_k+1
2,0.0009848048134359127,0.06607190938999724,0.988108013329561,-0.12851790446567854,0.13048751409255036,evt_k+2
3,0.007108998716031196,0.06977502010186482,0.9188488289068486,-0.1296519065857937,0.14386990401785607,evt_k+3
4,0.011684170910336798,0.07509511149909912,0.8763557525292593,-0.13550425579831843,0.15887259761899203,evt_k+4
5,0.016573932603098557,0.0743528748191466,0.8236074561349285,-0.12915969036418426,0.16230755557038137,evt_k+5
6,0.01403059479893036,0.07508399408052871,0.8517672313550091,-0.1331360414720283,0.16119723106988898,evt_k+6
7,0.008321758285067685,0.07695497529868725,0.9138867871384893,-0.14251205120668714,0.1591555677768225,evt_k+7
8,0.005909789647259808,0.07939568425872448,0.9406649356334196,-0.1497078746748578,0.1615274539693774,evt_k_ge8
