Panel,Outcome,depvar,mean_dep,Coef,SE,p-valor,IC 95%,N,coef_raw,se_raw,pval_raw
A: Extensivo (LPM),Contratos totales (any>0),any_ncont_total_m,0.9737024221453288,0.0020,(0.0025),0.4191,"[-0.0029, 0.0070]","41,905",0.002042425327053867,0.002527727991621485,0.4190906508844887
A: Extensivo (LPM),Tarjetas débito (any>0),any_numtar_deb_m,0.9744183271685957,-0.0029,(0.0036),0.4196,"[-0.0099, 0.0041]","41,905",-0.0028994543066797316,0.0035924337267568933,0.4196135744929732
A: Extensivo (LPM),Tarjetas crédito (any>0),any_numtar_cred_m,0.9216561269538242,0.0022,(0.0025),0.3832,"[-0.0027, 0.0071]","41,905",0.0021960036440278794,0.002518169554858252,0.38317907291925835
A: Extensivo (LPM),Créditos hipotecarios (any>0),any_numcontcred_hip_m,0.6393986397804557,0.0107,(0.0073),0.1419,"[-0.0036, 0.0249]","41,905",0.010661707299763384,0.007257996206309561,0.14185157495819323
A: Extensivo (LPM),Saldo total (any>0),any_saldocont_total_m,0.9703615320367498,0.0013,(0.0033),0.6799,"[-0.0051, 0.0078]","41,905",0.0013479858516204323,0.0032671691516441476,0.6799127424950466
B: Share mujeres,Share mujeres — contratos totales,share_m_ncont_total,0.5171277152003626,-0.001177,(0.003717),0.7514,"[-0.008462, 0.006108]","41,305",-0.0011773522605388453,0.0037167783329836073,0.75142220261914
B: Share mujeres,Share mujeres — tarjetas débito,share_m_numtar_deb,0.42674367119629436,-0.000293,(0.002282),0.8979,"[-0.004766, 0.004180]","41,736",-0.00029268973322587813,0.0022820298556137176,0.8979450605637589
B: Share mujeres,Share mujeres — tarjetas crédito,share_m_numtar_cred,0.4277990596071718,0.000748,(0.002406),0.7558,"[-0.003967, 0.005463]","39,390",0.0007481529335282846,0.002405642935778653,0.7558030158358784
B: Share mujeres,Share mujeres — créditos hipotecarios,share_m_numcontcred_hip,0.3187894705198971,-0.001399,(0.005181),0.7871,"[-0.011555, 0.008756]","31,406",-0.0013992021930273667,0.005181286585287355,0.7871243146112583
B: Share mujeres,Share mujeres — saldo total,share_m_saldocont_total,0.4890200510224816,0.000555,(0.006360),0.9305,"[-0.011911, 0.013021]","41,194",0.0005545709173316115,0.006360110068486681,0.9305168244825182
