column,dtype,null_count,null_rate,n_unique,min,p50,max
cve_mun,bigint,0,0.0,2471,1001.0,20228.0,32058.0
trim,bigint,0,0.0,17,119.0,318.0,421.0
cve_edo,bigint,0,0.0,32,1.0,20.0,32.0
region,text,0,0.0,6,,,
estado,text,0,0.0,32,,,
municipio,text,0,0.0,2424,,,
pob,bigint,0,0.0,8735,81.0,13701.0,1922523.0
pob_adulta,bigint,0,0.0,8416,66.0,9873.0,1468256.0
pob_adulta_m,bigint,0,0.0,7506,36.0,5133.0,766847.0
pob_adulta_h,bigint,0,0.0,7332,26.0,4767.0,736875.0
tipo_pob,text,0,0.0,6,,,
ncont_ahorro_m,bigint,0,0.0,1099,0.0,0.0,13130.0
ncont_ahorro_h,bigint,0,0.0,1127,0.0,0.0,15965.0
ncont_ahorro_pm,bigint,0,0.0,36,0.0,0.0,202.0
ncont_ahorro_t,bigint,0,0.0,1365,0.0,0.0,28206.0
ncont_plazo_m,bigint,0,0.0,4147,0.0,0.0,138816.0
ncont_plazo_h,bigint,0,0.0,3343,0.0,0.0,594884.0
ncont_plazo_pm,bigint,0,0.0,985,0.0,0.0,26191.0
ncont_plazo_t,bigint,0,0.0,5083,0.0,0.0,718838.0
ncont_n1_m,bigint,0,0.0,123,0.0,0.0,22827.0
ncont_n1_h,bigint,0,0.0,142,0.0,0.0,445236.0
ncont_n1_pm,bigint,0,0.0,9,0.0,0.0,11.0
ncont_n1_t,bigint,0,0.0,186,0.0,0.0,468063.0
ncont_n2_m,bigint,0,0.0,7724,0.0,140.0,4163526.0
ncont_n2_h,bigint,0,0.0,7263,0.0,136.0,2387959.0
ncont_n2_pm,bigint,0,0.0,350,0.0,0.0,11773.0
ncont_n2_t,bigint,0,0.0,9803,0.0,296.0,5267939.0
ncont_n3_m,bigint,0,0.0,1406,0.0,0.0,124446.0
ncont_n3_h,bigint,0,0.0,1555,0.0,0.0,255013.0
ncont_n3_pm,bigint,0,0.0,15,0.0,0.0,243.0
ncont_n3_t,bigint,0,0.0,1926,0.0,0.0,379702.0
ncont_tradic_m,bigint,0,0.0,12376,0.0,0.0,4194798.0
ncont_tradic_h,bigint,0,0.0,11956,0.0,0.0,4016834.0
ncont_tradic_pm,bigint,0,0.0,3416,0.0,0.0,410179.0
ncont_tradic_t,bigint,0,0.0,14246,0.0,0.0,8242396.0
ncont_total_m,bigint,0,0.0,13796,0.0,210.0,4839046.0
ncont_total_h,bigint,0,0.0,13022,0.0,197.0,4425301.0
ncont_total_pm,bigint,0,0.0,3508,0.0,0.0,418676.0
ncont_total_t,bigint,0,0.0,15930,0.0,409.0,9273479.0
saldocont_ahorro_m,bigint,0,0.0,2174,0.0,0.0,562328429.0
saldocont_ahorro_h,bigint,0,0.0,2256,0.0,0.0,565677626.0
saldocont_ahorro_pm,bigint,0,0.0,84,0.0,0.0,251306297.0
saldocont_ahorro_t,bigint,0,0.0,2460,0.0,0.0,1128006054.0
saldocont_plazo_m,bigint,0,0.0,17535,0.0,0.0,43326334498.0
saldocont_plazo_h,bigint,0,0.0,17602,0.0,0.0,41596754422.0
saldocont_plazo_pm,bigint,0,0.0,7547,0.0,0.0,204000000000.0
saldocont_plazo_t,bigint,0,0.0,17954,0.0,0.0,252000000000.0
saldocont_n1_m,bigint,0,0.0,869,0.0,0.0,46461851.0
saldocont_n1_h,bigint,0,0.0,1694,0.0,0.0,205610860.0
saldocont_n1_pm,bigint,0,0.0,34,0.0,0.0,19739.0
saldocont_n1_t,bigint,0,0.0,2029,0.0,0.0,205730972.0
saldocont_n2_m,bigint,0,0.0,33186,0.0,44625.0,6669616765.0
saldocont_n2_h,bigint,0,0.0,33761,0.0,55317.0,4712034597.0
saldocont_n2_pm,bigint,0,0.0,5095,0.0,0.0,12336430.0
saldocont_n2_t,bigint,0,0.0,36597,0.0,111579.0,11381657460.0
saldocont_n3_m,bigint,0,0.0,6513,0.0,0.0,276467077.0
saldocont_n3_h,bigint,0,0.0,6777,0.0,0.0,595622268.0
saldocont_n3_pm,bigint,0,0.0,233,0.0,0.0,22135997.0
saldocont_n3_t,bigint,0,0.0,7058,0.0,0.0,853118381.0
saldocont_tradic_m,bigint,0,0.0,18103,0.0,0.0,41020925508.0
saldocont_tradic_h,bigint,0,0.0,18198,0.0,0.0,52110362052.0
saldocont_tradic_pm,bigint,0,0.0,12516,0.0,0.0,532000000000.0
saldocont_tradic_t,bigint,0,0.0,18337,0.0,0.0,625000000000.0
saldocont_total_m,bigint,0,0.0,33808,0.0,71736.0,66403647325.0
saldocont_total_h,bigint,0,0.0,34339,0.0,86310.0,86073672011.0
saldocont_total_pm,bigint,0,0.0,12560,0.0,0.0,718000000000.0
saldocont_total_t,bigint,0,0.0,36874,0.0,174658.0,851000000000.0
saldoprom_ahorro_m,double precision,39267,0.937048,2137,0.0,21004.0,181322.0
saldoprom_ahorro_h,double precision,39163,0.934566,2213,0.0,17318.0,416614.0
saldoprom_ahorro_pm,double precision,41721,0.995609,84,0.0,1403.5,1295393.0
saldoprom_ahorro_t,double precision,38839,0.926835,2418,0.0,18086.0,162009.0
saldoprom_plazo_m,double precision,24231,0.578236,17174,0.0,199247.0,8466934.0
saldoprom_plazo_h,double precision,24183,0.577091,17366,0.0,274561.0,15623846.0
saldoprom_plazo_pm,double precision,33839,0.807517,7542,0.0,1035037.0,1312868145.0
saldoprom_plazo_t,double precision,23852,0.569192,17666,0.0,233781.0,25681795.0
saldoprom_n1_m,double precision,40586,0.968524,553,0.0,96.0,5963.0
saldoprom_n1_h,double precision,38279,0.913471,1388,0.0,1160.0,20022.0
saldoprom_n1_pm,double precision,41871,0.999189,33,1.0,1539.5,4838.0
saldoprom_n1_t,double precision,37981,0.90636,1480,0.0,1071.0,20022.0
saldoprom_n2_m,double precision,1118,0.026679,3716,0.0,335.0,112249.0
saldoprom_n2_h,double precision,1504,0.035891,3870,0.0,457.0,65132.0
saldoprom_n2_pm,double precision,35436,0.845627,3599,0.0,1314.0,143202.0
saldoprom_n2_t,double precision,615,0.014676,3708,0.0,421.0,66809.0
saldoprom_n3_m,double precision,35184,0.839613,5701,0.0,9178.0,258008.0
saldoprom_n3_h,double precision,34616,0.826059,5746,0.0,7158.0,171635.0
saldoprom_n3_pm,double precision,41569,0.991982,236,0.0,7465.5,22135997.0
saldoprom_n3_t,double precision,34347,0.81964,6012,0.0,8268.5,175110.0
saldoprom_tradic_m,double precision,23696,0.56547,13814,0.0,15840.0,862667.0
saldoprom_tradic_h,double precision,23655,0.564491,14274,0.0,17699.0,602256.0
saldoprom_tradic_pm,double precision,29187,0.696504,12404,0.0,292042.0,24935346.0
saldoprom_tradic_t,double precision,23493,0.560625,15031,0.0,19633.0,2105770.0
saldoprom_total_m,double precision,1102,0.026298,16287,0.0,606.0,730678.0
saldoprom_total_h,double precision,1485,0.035437,16987,0.0,1036.0,1495980.0
saldoprom_total_pm,double precision,29152,0.695669,12473,0.0,306017.0,36726153.0
saldoprom_total_t,double precision,600,0.014318,17290,0.0,825.0,1122686.0
numcontcred_hip_m,bigint,0,0.0,2481,0.0,2.0,52557.0
numcontcred_hip_h,bigint,0,0.0,3031,0.0,5.0,85319.0
numcontcred_hip_t,bigint,0,0.0,3540,0.0,7.0,137876.0
numtar_deb_m,bigint,0,0.0,13147,0.0,177.0,6140629.0
numtar_deb_h,bigint,0,0.0,13256,0.0,233.0,5759481.0
